"id";"fr";"en"
"cruisecompare.app";"Comparaison de croisières";"Cruise comparison"
"geoavirweb";"GeoAviRWeb";"GeoAviRWeb"
"geoavirweb.app";"GeoAviRWeb";"GeoAviRWeb"
"geoavirweb.desc";"<b>GeoAviRWeb</b> est un outil d'analyse de données sur les oiseaux marins au large. Ces données peuvent être corrigées pour la détection des oiseaux diminuant avec la distance entre ces derniers et l'observateur, ou non. Les résultats peuvent être produits pour toute la zone d'étude, ou stratifiés spatialement à partir d'un fichier de formes personnel ou d'une grille suivant vos besoins.";"<b>GeoAviRWeb</b> is a tool for the analysis of seabird at-sea data. The data can either be corrected for a decreasing detection with distance to the observer, or not. Results can be obtained for the study area at large, or spatially stratified using your own shapefile or a spatial grid, as needed."
"lang.en";"English";"English"
"lang.fr";"Français";"Français"
"login";"Se connecter";"Login"
"portal.desc";"Vous trouverez des applications d'analyse d'observations d'oiseaux marins";"Here you can find applications to analyse seabird data"
"portal.main";"GeoAviRWeb";"GeoAviRWeb"
"select.app";"Choisissez votre application";"Select your application"
"urgences.app";"Urgences environnementales";"Environmental emergencies"
